DEBUG:root:idx_keep count:443
DEBUG:root:x_l:(100, 443), y_l:(100, 10), x_u:(49900, 443), y_(49900, 10)
DEBUG:root:num batches:250.0, batch_size:200,  num_lab_batch 100, num_ulab_batch:100, epochs:1200
DEBUG:root:labeled + unlabeled loss
DEBUG:root:Training Auxiliary VAE:
DEBUG:root:Iteration: 1, Training Loss: 14485507 Acc:0.13 marg_lik: -5362062.0  Validation Acc:0.1455 marg_lik: -10601890.58 , *
DEBUG:root:Iteration: 101, Training Loss: 3664705 Acc:0.99 marg_lik: -3465381.0  Validation Acc:0.416 marg_lik: -7423638.46 , *
DEBUG:root:Iteration: 201, Training Loss: 3621909 Acc:0.98 marg_lik: -3273018.5  Validation Acc:0.4583 marg_lik: -7066993.49 , *
DEBUG:root:Iteration: 301, Training Loss: 3734993 Acc:0.71 marg_lik: -3336290.0  Validation Acc:0.4864 marg_lik: -6784421.14 , *
DEBUG:root:Iteration: 401, Training Loss: 2636514 Acc:1.0 marg_lik: -2700240.75  Validation Acc:0.5043 marg_lik: -7230757.25 , *
DEBUG:root:Iteration: 501, Training Loss: 4558054 Acc:1.0 marg_lik: -2555370.0  Validation Acc:0.5371 marg_lik: -8267431.55 , *
DEBUG:root:Iteration: 601, Training Loss: 1837723 Acc:0.52 marg_lik: nan  Validation Acc:0.5947 marg_lik: -7566869.79 , *
DEBUG:root:Iteration: 701, Training Loss: 647433 Acc:1.0 marg_lik: -2476103.5  Validation Acc:0.5575 marg_lik: -12620623.56 , 
DEBUG:root:Iteration: 801, Training Loss: 2727409 Acc:0.96 marg_lik: -5330402.0  Validation Acc:0.5853 marg_lik: -9431631.89 , 
DEBUG:root:Iteration: 901, Training Loss: 2503895 Acc:0.63 marg_lik: -6413245.0  Validation Acc:0.5819 marg_lik: -12298904.27 , 
DEBUG:root:Iteration: 1001, Training Loss: 3204733 Acc:1.0 marg_lik: -2298948.0  Validation Acc:0.6255 marg_lik: -16972455.87 , *
DEBUG:root:Iteration: 1101, Training Loss: 176060 Acc:0.99 marg_lik: -5167051.5  Validation Acc:0.6044 marg_lik: -10146744.61 , 
DEBUG:root:Iteration: 1201, Training Loss: 1757822 Acc:1.0 marg_lik: -1920363.75  Validation Acc:0.6055 marg_lik: -117707348.44 , 
DEBUG:root:Iteration: 1301, Training Loss: 2440951 Acc:1.0 marg_lik: -3189291.5  Validation Acc:0.6064 marg_lik: -11028518.98 , 
DEBUG:root:Iteration: 1401, Training Loss: 3567090 Acc:1.0 marg_lik: -9439956.0  Validation Acc:0.6369 marg_lik: -18422280.52 , *
DEBUG:root:Iteration: 1501, Training Loss: 2334238 Acc:1.0 marg_lik: -2231476.5  Validation Acc:0.6069 marg_lik: -22133310.99 , 
DEBUG:root:Iteration: 1601, Training Loss: 148973 Acc:1.0 marg_lik: -2758794.25  Validation Acc:0.6497 marg_lik: -13478623.31 , *
DEBUG:root:Iteration: 1701, Training Loss: 1354865 Acc:1.0 marg_lik: -4726755.0  Validation Acc:0.6407 marg_lik: -71122533.18 , 
DEBUG:root:Iteration: 1801, Training Loss: 23149924 Acc:0.64 marg_lik: -9696018.0  Validation Acc:0.6248 marg_lik: -79796786.69 , 
DEBUG:root:Iteration: 1901, Training Loss: 1486662 Acc:1.0 marg_lik: -4601600.0  Validation Acc:0.625 marg_lik: -858265605000.63 , 
DEBUG:root:Iteration: 2001, Training Loss: 1765970 Acc:1.0 marg_lik: -3692215.5  Validation Acc:0.6189 marg_lik: -13280457.27 , 
DEBUG:root:Iteration: 2101, Training Loss: 425242 Acc:0.81 marg_lik: -9071699.0  Validation Acc:0.6319 marg_lik: -71091070.92 , 
DEBUG:root:Iteration: 2201, Training Loss: 703465 Acc:1.0 marg_lik: -4692801.5  Validation Acc:0.645 marg_lik: -27990465.35 , 
DEBUG:root:Iteration: 2301, Training Loss: 166151 Acc:0.54 marg_lik: -16035750.0  Validation Acc:0.6117 marg_lik: -72343562.33 , 
DEBUG:root:Iteration: 2401, Training Loss: 835642 Acc:1.0 marg_lik: -5078093.0  Validation Acc:0.6339 marg_lik: -27173198.2 , 
DEBUG:root:Iteration: 2501, Training Loss: 390021 Acc:1.0 marg_lik: -10038511.0  Validation Acc:0.6406 marg_lik: -47534489.73 , 
DEBUG:root:Iteration: 2601, Training Loss: -81366 Acc:1.0 marg_lik: -250019.84375  Validation Acc:0.6374 marg_lik: -14635587.61 , 
DEBUG:root:Iteration: 2701, Training Loss: -890972 Acc:1.0 marg_lik: -53745.8671875  Validation Acc:0.6356 marg_lik: -100555754.13 , 
DEBUG:root:Iteration: 2801, Training Loss: 1329800 Acc:1.0 marg_lik: -437847.34375  Validation Acc:0.6471 marg_lik: -27597625.21 , 
DEBUG:root:Iteration: 2901, Training Loss: 961963 Acc:1.0 marg_lik: -10097860.0  Validation Acc:0.6546 marg_lik: -17388807.63 , *
DEBUG:root:Iteration: 3001, Training Loss: -483118 Acc:0.62 marg_lik: -18994186.0  Validation Acc:0.6135 marg_lik: -76544794.41 , 
DEBUG:root:Iteration: 3101, Training Loss: 6608843 Acc:1.0 marg_lik: -34118469632.0  Validation Acc:0.6452 marg_lik: -56639397.9 , 
DEBUG:root:Iteration: 3201, Training Loss: -48023 Acc:1.0 marg_lik: -9772065.0  Validation Acc:0.643 marg_lik: -58194405.57 , 
DEBUG:root:Iteration: 3301, Training Loss: 1711365 Acc:0.94 marg_lik: -15143252.0  Validation Acc:0.6513 marg_lik: -37636084.53 , 
DEBUG:root:Iteration: 3401, Training Loss: 1733583 Acc:1.0 marg_lik: -3803274.25  Validation Acc:0.638 marg_lik: -25687998.28 , 
DEBUG:root:Iteration: 3501, Training Loss: 1063524 Acc:1.0 marg_lik: -3801844.75  Validation Acc:0.6447 marg_lik: -137248037.77 , 
DEBUG:root:Iteration: 3601, Training Loss: 5795973 Acc:1.0 marg_lik: -5648809.5  Validation Acc:0.6297 marg_lik: -30368268.65 , 
DEBUG:root:Iteration: 3701, Training Loss: 1438589 Acc:0.66 marg_lik: -19725798.0  Validation Acc:0.6441 marg_lik: -16406258.3 , 
DEBUG:root:Iteration: 3801, Training Loss: 511292 Acc:1.0 marg_lik: -29077530.0  Validation Acc:0.6383 marg_lik: -28386148.98 , 
DEBUG:root:Iteration: 3901, Training Loss: 1085642 Acc:1.0 marg_lik: -3459555.5  Validation Acc:0.6627 marg_lik: -21848093.08 , *
DEBUG:root:Iteration: 4001, Training Loss: 1522892 Acc:1.0 marg_lik: -2007810.625  Validation Acc:0.6404 marg_lik: -16638301.88 , 
DEBUG:root:Iteration: 4101, Training Loss: 1573899 Acc:1.0 marg_lik: -9969753.0  Validation Acc:0.6377 marg_lik: -24486850.14 , 
